OBJECTID,vmoTipusKod,Torzsszam,vmoNev,Rendszam,VMOEov_EOVx,VMOEov_EOVy,vFkAllomas_AdatgazdaNev,vFkAllomas_Nevr,vFkAllomas_Leiras,vFkAllomas_TalajvizkutTelepulesNev,vFkAllomas_KapcsSzkmNev,vFkAllomas_AllomasTavmBemenetNev,vFkAllomas_AllomasTVA,vFkAllomas_TalajvizkutKatSzam,vFkAllomas_TalajvizkutJelzoszam,vFkAllomas_FkAllAdatforgTipNev,vFkAllomas_TalajvizkutVizminVanE,vFkAllomas_TalajvizkutTipuskodNev,vFkAllomas_TalajvizkutTerepmag,vFkAllomas_TalajvizkutKutperemmag,vFkAllomas_TalajvizkutKutmelyseg,vFkAllomas_TalajvizjutGyorsadat,vFkAllomas_FkAllVKImon,vFkAllomas_FkAllUzemelesNev
86,12,110606,Rajka,ABZ246,298839.75,512633.14,ÉDUVIZIG,-,-,Rajka,Szigetközi szakaszmérnökség,nincs távmérő,0,-,9301,észlelt,0,üzemi állomás,128.85,130.16,1200,0,0,üzemel
87,12,110638,Rajka,ACA641,294154.22,511187.75,ÉDUVIZIG,-,-,Rajka,Szigetközi szakaszmérnökség,nincs távmérő,0,-,9380,regisztrált,0,üzemi állomás,125.22,126.376,1821,0,0,üzemel
88,12,110644,Bezenye,ACA609,292510.8,513940.61,ÉDUVIZIG,-,-,Bezenye,Szigetközi szakaszmérnökség,nincs távmérő,0,-,9386,regisztrált,1,üzemi állomás,126.31,127.34,1700,0,1,üzemel
89,12,110823,Ács,AAW220,264720.94,564481.02,ÉDUVIZIG,-,-,Ács,Tatai szakaszmérnökség,nincs távmérő,0,-,96092,regisztrált,0,üzemi állomás,119.14,120.027,800,0,0,üzemel
90,12,110412,Rajka,ACB659,295790.84,515575.63,ÉDUVIZIG,-,-,Rajka,Szigetközi szakaszmérnökség,nincs távmérő,0,-,Próbakut,regisztrált,0,üzemi állomás,126.52,127.24,2350,0,1,üzemel
91,12,111485,Nagyszentjános,AIK799,265859,561382,ÉDUVIZIG,-,-,Nagyszentjános,Tatai szakaszmérnökség,nincs távmérő,0,-,96072,regisztrált,0,üzemi állomás,117.54,117.576,3420,0,0,üzemel
92,12,110820,Ács,AAW223,266700.27,564452.41,ÉDUVIZIG,-,-,Ács,Tatai szakaszmérnökség,nincs távmérő,0,-,96082,regisztrált,0,üzemi állomás,117.44,118.66,3565,0,0,üzemel
93,12,111610,Ács-Lovadi rét tvb.,AMJ626,267776.198,568201.946,ÉDUVIZIG,Ács,-,Ács,Tatai szakaszmérnökség,nincs távmérő,0,K-84,T-1,regisztrált,0,üzemi állomás,110.254,111.131,2075,0,0,üzemel
94,12,111402,Hegyeshalom (Jánossomorja vb.),AIL640,284086,504182,ÉDUVIZIG,-,-,Hegyeshalom,Szigetközi szakaszmérnökség,nincs távmérő,0,K-48,JHE-1,regisztrált,1,üzemi állomás,124.73,125.44,1700,0,1,üzemel
95,12,110414,Rajka,ACB657,295780.35,515564.28,ÉDUVIZIG,-,-,Rajka,Szigetközi szakaszmérnökség,nincs távmérő,0,-,6.sz.piez,regisztrált,0,üzemi állomás,126.85,127.53,870,0,0,üzemel
