OBJECTID,vmoTipusKod,Torzsszam,vmoNev,Rendszam,VMOEov_EOVx,VMOEov_EOVy,vFkAllomas_AdatgazdaNev,vFkAllomas_Nevr,vFkAllomas_Leiras,vFkAllomas_TalajvizkutTelepulesNev,vFkAllomas_KapcsSzkmNev,vFkAllomas_AllomasTavmBemenetNev,vFkAllomas_AllomasTVA,vFkAllomas_TalajvizkutKatSzam,vFkAllomas_TalajvizkutJelzoszam,vFkAllomas_FkAllAdatforgTipNev,vFkAllomas_TalajvizkutVizminVanE,vFkAllomas_TalajvizkutTipuskodNev,vFkAllomas_TalajvizkutTerepmag,vFkAllomas_TalajvizkutKutperemmag,vFkAllomas_TalajvizkutKutmelyseg,vFkAllomas_TalajvizjutGyorsadat,vFkAllomas_FkAllVKImon,vFkAllomas_FkAllUzemelesNev
32,12,119,Rajka,ABE180,293150.41,506764.97,ÉDUVIZIG,-,-,Rajka,Szigetközi szakaszmérnökség,"csak ""tárolt"" adatok (reg) átadása",1,-,2681,regisztrált,0,törzsállomás,128.56,129.48,1070,1,1,üzemel
33,12,3671,Ács,AAL461,262637.22,572674.52,ÉDUVIZIG,-,-,Ács,Tatai szakaszmérnökség,nincs távmérő,1,-,3069,regisztrált,0,törzsállomás,118.65,119.87,900,0,0,üzemel
34,12,3813,Ács-Nagyszentjános,ABD123,260592.85,565067.32,ÉDUVIZIG,-,-,Ács,Tatai szakaszmérnökség,nincs távmérő,1,-,3117,regisztrált,0,törzsállomás,119.14,120.368,800,0,0,üzemel
35,12,110787,Máriakálnok,ABC401,280471.37,520871.47,ÉDUVIZIG,-,-,Máriakálnok,Szigetközi szakaszmérnökség,nincs távmérő,0,-,95703,regisztrált,0,üzemi állomás,118.96,119.77,7790,0,1,üzemel
36,12,147,Dunakiliti-Feketeerdő,AAO021,290459.82,519180.93,ÉDUVIZIG,-,-,Dunakiliti,Szigetközi szakaszmérnökség,nincs távmérő,1,-,2615,regisztrált,0,törzsállomás,124.23,124.76,970,0,0,üzemel
37,12,110786,Máriakálnok,ABC399,280471.37,520871.47,ÉDUVIZIG,-,-,Máriakálnok,Szigetközi szakaszmérnökség,nincs távmérő,0,-,95702,regisztrált,1,üzemi állomás,118.96,119.77,9200,0,1,üzemel
38,12,3937,Hegyeshalom,AAO816,290784,510718.65,ÉDUVIZIG,-,-,Hegyeshalom,Szigetközi szakaszmérnökség,nincs távmérő,1,-,2540,regisztrált,0,törzsállomás,125.07,126.4,900,0,0,üzemel
39,12,6939,Mosonmagyaróvár,APW205,281650.7,517523.36,ÉDUVIZIG,GNMOM6A,A 000117 Mosonmagyaróvár feliszapolódott  regisztrált törzsállomás helyettesítésére.,Mosonmagyaróvár,Szigetközi szakaszmérnökség,nincs távmérő,1,-,GNMOM6A,regisztrált,0,törzsállomás,119.92,120.73,600,0,0,üzemel
40,12,110822,Ács,AAW221,264720.94,564481.02,ÉDUVIZIG,-,-,Ács,Tatai szakaszmérnökség,nincs távmérő,0,-,96091,regisztrált,0,üzemi állomás,119.14,120.027,4537,0,0,üzemel
41,12,3676,Mosonszolnok,ABC836,280536.66,509801.47,ÉDUVIZIG,-,-,Mosonszolnok,Szigetközi szakaszmérnökség,"csak ""tárolt"" adatok (reg) átadása",1,-,3074,regisztrált,0,törzsállomás,122.7,123.52,1000,0,1,üzemel
42,12,3677,Jánossomorja-Mosonszentjános,ABC818,273031,507758,ÉDUVIZIG,-,-,Jánossomorja (Mosonszentjános),Hansági szakaszmérnökség,nincs távmérő,1,-,3075,regisztrált,0,törzsállomás,117.27,118.33,900,0,1,üzemel
43,12,177,Mosonszolnok,ABC837,279335.3,510812.18,ÉDUVIZIG,-,-,Mosonszolnok,Szigetközi szakaszmérnökség,nincs távmérő,1,-,2958,regisztrált,0,törzsállomás,120.13,120.97,971,0,0,üzemel
44,12,3820,Levél,ABC082,282899.43,513191.41,ÉDUVIZIG,-,-,Levél,Szigetközi szakaszmérnökség,nincs távmérő,1,-,3124,regisztrált,0,törzsállomás,121.61,122.78,1000,0,1,üzemel
45,12,179,Jánossomorja-Mosonszentjános,ABC819,274825.76,508548.47,ÉDUVIZIG,-,-,Jánossomorja (Mosonszentjános),Hansági szakaszmérnökség,"csak ""tárolt"" adatok (reg) átadása",1,-,2960,távmért,0,törzsállomás,118.25,119.2,1020,1,0,üzemel
46,12,4327,Rajka,ABE191,296564.46,510307.11,ÉDUVIZIG,-,-,Rajka,Szigetközi szakaszmérnökség,nincs távmérő,1,-,2684,regisztrált,0,törzsállomás,130.93,131.92,1500,0,0,üzemel
47,12,3586,Várbalog,AAV351,280212,500659,ÉDUVIZIG,-,-,Várbalog,Hansági szakaszmérnökség,nincs távmérő,1,-,1035,regisztrált,0,törzsállomás,123.26,123.97,900,1,1,üzemel
48,12,110618,Bezenye,ACA828,294479.38,514039.01,ÉDUVIZIG,-,-,Bezenye,Szigetközi szakaszmérnökség,nincs távmérő,0,-,9325,regisztrált,0,üzemi állomás,125.71,126.75,1808,0,0,üzemel
49,12,110637,Rajka,ACA845,294958.28,512115.62,ÉDUVIZIG,-,-,Rajka,Szigetközi szakaszmérnökség,nincs távmérő,0,-,9379,regisztrált,0,üzemi állomás,127.99,129.13,1788,0,0,üzemel
50,12,110657,Rajka,ACA846,297718.58,513908.98,ÉDUVIZIG,-,-,Rajka,Szigetközi szakaszmérnökség,nincs távmérő,0,-,9409,regisztrált,0,üzemi állomás,127.64,134.25,1350,0,0,üzemel
51,12,3470,Bezenye,AAM348,292528.84,512820.07,ÉDUVIZIG,-,-,Bezenye,Szigetközi szakaszmérnökség,nincs távmérő,1,-,1020,regisztrált,0,törzsállomás,125.61,126.48,810,0,0,üzemel
52,12,110413,Rajka,ACB656,295793.93,515581.14,ÉDUVIZIG,-,-,Rajka,Szigetközi szakaszmérnökség,nincs távmérő,0,-,2.sz.PIEZ,regisztrált,0,üzemi állomás,125.83,126.1,865,0,1,üzemel
53,12,110612,Rajka,ACA244,296683.77,514513.22,ÉDUVIZIG,-,-,Rajka,Szigetközi szakaszmérnökség,nincs távmérő,0,-,9313,észlelt,0,üzemi állomás,126.52,127.51,1000,0,0,üzemel
54,12,111483,Nagyszentjános,AIK791,266170.2,561603.83,ÉDUVIZIG,-,-,Nagyszentjános,Tatai szakaszmérnökség,nincs távmérő,0,-,96062,regisztrált,0,üzemi állomás,117.61,118.31,1330,0,0,üzemel
55,12,3682,Levél,ABC081,284456.69,514044.55,ÉDUVIZIG,-,-,Levél,Szigetközi szakaszmérnökség,"csak ""tárolt"" adatok (reg) átadása",1,-,3080,regisztrált,0,törzsállomás,121.7,122.77,1000,1,0,üzemel
56,12,206,Bábolna,AAL746,255687.22,569779.19,ÉDUVIZIG,-,-,Bábolna,Tatai szakaszmérnökség,nincs távmérő,1,-,1052,regisztrált,0,törzsállomás,137.48,138.392,975,0,1,üzemel
57,12,111509,Mosonmagyaróvár,AIL655,284447.49,519528.64,ÉDUVIZIG,-,-,Mosonmagyaróvár,Szigetközi szakaszmérnökség,nincs távmérő,0,-,95391,regisztrált,0,üzemi állomás,121.47,122.51,1470,0,0,üzemel
58,12,111512,Rajka,AIL670,295555.39,516056.14,ÉDUVIZIG,-,-,Rajka,Szigetközi szakaszmérnökség,nincs távmérő,0,-,95821,regisztrált,0,üzemi állomás,125.82,133.36,0,0,0,üzemel
59,12,3473,Hegyeshalom,AAO817,288134.05,507494.34,ÉDUVIZIG,-,-,Hegyeshalom,Szigetközi szakaszmérnökség,nincs távmérő,1,-,1031,regisztrált,0,törzsállomás,127.04,128.05,1160,1,0,üzemel
60,12,3475,Rajka,ABE172,296929.06,510606.67,ÉDUVIZIG,-,-,Rajka,Szigetközi szakaszmérnökség,nincs távmérő,1,-,2692,regisztrált,0,törzsállomás,129.53,130.38,910,0,0,üzemel
61,12,110744,Rajka,ACA925,296985.54,512411.08,ÉDUVIZIG,-,-,Rajka,Szigetközi szakaszmérnökség,nincs távmérő,0,-,9530-3,észlelt,1,üzemi állomás,127.89,128.535,6370,0,1,üzemel
